index,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,SYN_SET_032,0.5575762344292083,1.6458027317737505,0.019417475728155338,0.4267990074441687,0.365,10/19,25.20%,SIM_009742;SIM_010003;SIM_001146;SIM_003699;SIM_007420;SIM_002805;SIM_006125;SIM_013008;SIM_004327;SIM_001210
1,prerank,SYN_SET_019,-0.6288065732729302,-1.6395720607883253,0.0,0.40831758034026466,0.34,5/11,17.76%,SIM_003054;SIM_000492;SIM_011952;SIM_015652;SIM_010471
2,prerank,SYN_SET_040,0.42543998314637466,1.4884611660908718,0.046296296296296294,0.6774193548387096,0.745,11/30,19.06%,SIM_013841;SIM_014892;SIM_002257;SIM_010693;SIM_015544;SIM_005147;SIM_005550;SIM_001439;SIM_000895;SIM_016120;SIM_008453
3,prerank,SYN_SET_030,-0.5457402279268484,-1.4283588153474676,0.07216494845360824,0.9350976685570258,0.82,5/11,17.80%,SIM_001781;SIM_005246;SIM_002896;SIM_013044;SIM_002294
4,prerank,SYN_SET_013,-0.5651869307599335,-1.4136809983222003,0.0898876404494382,0.6704473850031506,0.845,8/12,20.90%,SIM_012382;SIM_007295;SIM_019476;SIM_010544;SIM_005746;SIM_012317;SIM_001053;SIM_008492
5,prerank,SYN_SET_007,0.534715660469937,1.3596470412662345,0.10891089108910891,0.944582299421009,0.96,7/10,30.80%,SIM_008384;SIM_014475;SIM_015563;SIM_018557;SIM_006700;SIM_004495;SIM_004507
6,prerank,SYN_SET_002,0.3852256123206508,1.3278836391373108,0.07692307692307693,0.8300248138957816,0.975,13/32,19.68%,SIM_017928;SIM_002543;SIM_013813;SIM_015819;SIM_003699;SIM_018350;SIM_013481;SIM_005520;SIM_015871;SIM_002379;SIM_000877;SIM_007185;SIM_001393
7,prerank,SYN_SET_026,0.41196906160015057,1.323480134703828,0.07547169811320754,0.6759305210918114,0.975,8/24,15.74%,SIM_001647;SIM_004990;SIM_009742;SIM_003881;SIM_002039;SIM_008061;SIM_018705;SIM_012392
8,prerank,SYN_SET_018,0.5258596278944059,1.2709636410388194,0.18,0.7311827956989247,0.995,3/8,27.88%,SIM_015554;SIM_005937;SIM_017639
9,prerank,SYN_SET_033,0.4504414079539759,1.2628529935909873,0.1891891891891892,0.6472881956752925,1.0,5/12,17.84%,SIM_014475;SIM_013841;SIM_001029;SIM_007504;SIM_010319
10,prerank,SYN_SET_041,0.4944270605417722,1.2552606927082568,0.17582417582417584,0.5837468982630273,1.0,3/10,8.06%,SIM_015063;SIM_004898;SIM_004104
11,prerank,SYN_SET_009,-0.3877345278610562,-1.2412312039262805,0.13636363636363635,1.0,0.99,5/23,8.30%,SIM_016522;SIM_012180;SIM_013722;SIM_013199;SIM_015437
12,prerank,SYN_SET_006,-0.5660710508476394,-1.2308348312006527,0.25301204819277107,0.9668557025834909,0.99,5/6,38.98%,SIM_012059;SIM_017820;SIM_013842;SIM_002517;SIM_012296
13,prerank,SYN_SET_015,0.4267549932605673,1.2256259537096055,0.21359223300970873,0.5905707196029777,1.0,4/13,19.66%,SIM_000262;SIM_002389;SIM_012868;SIM_011261
14,prerank,SYN_SET_049,0.40623925954554074,1.2182720060948282,0.20353982300884957,0.5464019851116625,1.0,8/16,24.22%,SIM_001648;SIM_007900;SIM_014090;SIM_002407;SIM_003525;SIM_004574;SIM_014039;SIM_011865
15,prerank,SYN_SET_005,0.5830102986605964,1.1810456373558305,0.2222222222222222,0.5779381908414167,1.0,1/5,3.46%,SIM_015116
16,prerank,SYN_SET_022,0.4050999955823975,1.1561310133161065,0.2975206611570248,0.5851943755169562,1.0,5/17,17.02%,SIM_007371;SIM_003881;SIM_003604;SIM_006586;SIM_002590
17,prerank,SYN_SET_020,-0.4778208892901352,-1.147501592661413,0.3076923076923077,1.0,1.0,4/8,20.66%,SIM_002342;SIM_002764;SIM_014070;SIM_000297
18,prerank,SYN_SET_039,-0.33634865714160966,-1.139500996445849,0.25263157894736843,0.9909082725717885,1.0,13/26,27.54%,SIM_009800;SIM_008804;SIM_003435;SIM_002778;SIM_006527;SIM_018657;SIM_007166;SIM_000009;SIM_015391;SIM_006414;SIM_006514;SIM_018329;SIM_001805
19,prerank,SYN_SET_008,-0.3180074110581113,-1.0953608259949854,0.3225806451612903,1.0,1.0,8/28,8.86%,SIM_016788;SIM_013358;SIM_015538;SIM_008320;SIM_019381;SIM_013675;SIM_019300;SIM_004431
20,prerank,SYN_SET_021,0.34521166026876765,1.0854270991300483,0.3490566037735849,0.6989883565565947,1.0,4/20,6.30%,SIM_018310;SIM_000644;SIM_009467;SIM_001257
21,prerank,SYN_SET_046,-0.3282484907575545,-1.0840374209984962,0.32926829268292684,0.9336974025064763,1.0,8/21,24.90%,SIM_019795;SIM_016270;SIM_006582;SIM_000909;SIM_017895;SIM_012414;SIM_009923;SIM_018132
22,prerank,SYN_SET_024,-0.4917922962983705,-1.0664465486861883,0.4065934065934066,0.8846880907372401,1.0,3/5,25.20%,SIM_006061;SIM_007940;SIM_018118
23,prerank,SYN_SET_036,0.34661961736133745,1.0609910054718859,0.3565217391304348,0.6947890818858561,1.0,4/17,11.54%,SIM_019875;SIM_000669;SIM_005815;SIM_004816
24,prerank,SYN_SET_028,-0.332666565328135,-1.0167831890401922,0.43820224719101125,0.9435756430085354,1.0,5/16,19.26%,SIM_010339;SIM_010525;SIM_009720;SIM_014204;SIM_004945
25,prerank,SYN_SET_029,0.34627519225047343,0.9923805171692984,0.47572815533980584,0.7996691480562449,1.0,5/15,13.72%,SIM_003721;SIM_011784;SIM_009098;SIM_003200;SIM_001464
26,prerank,SYN_SET_010,0.3299914601040665,0.9846084339435726,0.46534653465346537,0.7661290322580645,1.0,3/20,9.24%,SIM_010198;SIM_013940;SIM_013413
27,prerank,SYN_SET_000,-0.2849534990597137,-0.92887698734556,0.5425531914893617,1.0,1.0,3/23,3.32%,SIM_017654;SIM_008026;SIM_016347
28,prerank,SYN_SET_043,0.41411878600593033,0.9205323340454689,0.5384615384615384,0.8623558604583274,1.0,3/6,27.92%,SIM_006184;SIM_008763;SIM_003427
29,prerank,SYN_SET_023,0.3330484260473927,0.9162657118829424,0.6372549019607843,0.8279569892473118,1.0,4/12,18.70%,SIM_016200;SIM_002424;SIM_000585;SIM_019140
30,prerank,SYN_SET_044,-0.3160594958734475,-0.9130685762269937,0.5360824742268041,1.0,1.0,2/16,4.78%,SIM_013883;SIM_003586
31,prerank,SYN_SET_004,-0.295841120574797,-0.9071074872767128,0.5333333333333333,1.0,1.0,5/16,19.52%,SIM_011722;SIM_016290;SIM_006839;SIM_001722;SIM_019895
32,prerank,SYN_SET_048,0.28847278654081226,0.8960809333805202,0.6063829787234043,0.8303513125244874,1.0,8/17,30.32%,SIM_000890;SIM_007549;SIM_003184;SIM_002190;SIM_004291;SIM_016780;SIM_012569;SIM_009693
33,prerank,SYN_SET_038,-0.3363135178575397,-0.8551488687221458,0.6568627450980392,1.0,1.0,4/10,26.94%,SIM_016218;SIM_005953;SIM_001875;SIM_018469
34,prerank,SYN_SET_003,-0.28412808438123194,-0.8243007757284957,0.7407407407407407,1.0,1.0,4/15,15.54%,SIM_011940;SIM_000094;SIM_001435;SIM_016279
35,prerank,SYN_SET_047,-0.2514391451438049,-0.8164215884802216,0.7926829268292683,1.0,1.0,5/20,13.88%,SIM_004484;SIM_009987;SIM_000222;SIM_008150;SIM_016580
36,prerank,SYN_SET_012,-0.3445935353638679,-0.8109261634114986,0.7169811320754716,0.9782258629139536,1.0,1/8,7.40%,SIM_016602
37,prerank,SYN_SET_035,0.28576159793673755,0.8007052432578483,0.7692307692307693,0.9727047146401984,1.0,4/15,14.44%,SIM_001810;SIM_005857;SIM_006915;SIM_018773
38,prerank,SYN_SET_034,-0.298199667713732,-0.7808102323834393,0.75,0.9707823433820847,1.0,1/11,1.52%,SIM_009917
39,prerank,SYN_SET_027,0.2653368301428481,0.7755774096392244,0.75,0.9717594233723266,1.0,6/18,19.32%,SIM_007902;SIM_003377;SIM_000776;SIM_006193;SIM_017045;SIM_013593
40,prerank,SYN_SET_042,0.26177157987293637,0.7632906601658035,0.7909090909090909,0.9499210466952402,1.0,4/17,17.52%,SIM_012046;SIM_010583;SIM_006184;SIM_009445
41,prerank,SYN_SET_001,0.20820255337791463,0.7625021474567464,0.875,0.9092674506419247,1.0,2/35,1.76%,SIM_002985;SIM_007902
42,prerank,SYN_SET_016,-0.2698919566249444,-0.7611813541392128,0.8876404494382022,0.9552614996849401,1.0,4/13,24.46%,SIM_000790;SIM_013200;SIM_018476;SIM_004461
43,prerank,SYN_SET_014,-0.2389794193828488,-0.7304281364965807,0.8478260869565217,0.9551414768806074,1.0,4/19,16.00%,SIM_019639;SIM_015437;SIM_010660;SIM_007688
44,prerank,SYN_SET_025,-0.20736140001191858,-0.7026935683199218,0.8478260869565217,0.9479291974566078,1.0,4/25,9.08%,SIM_003242;SIM_009957;SIM_000536;SIM_014879
45,prerank,SYN_SET_011,0.2425294822210775,0.6919201498737152,0.8703703703703703,0.9617452440033085,1.0,2/13,7.66%,SIM_003377;SIM_009041
46,prerank,SYN_SET_037,0.2304421333541694,0.6669521037351219,0.9056603773584906,0.9453101736972704,1.0,4/15,17.30%,SIM_003251;SIM_000877;SIM_006065;SIM_007709
47,prerank,SYN_SET_017,0.229534510433387,0.6565282661192533,0.9052631578947369,0.9162053827066234,1.0,16/16,77.12%,SIM_014772;SIM_005986;SIM_009492;SIM_011888;SIM_005921;SIM_019009;SIM_004733;SIM_008000;SIM_003551;SIM_017075;SIM_012296;SIM_016348;SIM_008940;SIM_015709;SIM_009538;SIM_004612
48,prerank,SYN_SET_031,-0.21257764444565902,-0.6439264346156057,0.9021739130434783,0.9634804525903399,1.0,4/17,14.98%,SIM_006610;SIM_001031;SIM_017728;SIM_015660
49,prerank,SYN_SET_045,-0.20962057017871133,-0.628002247430303,0.9767441860465116,0.9369880277252678,1.0,5/16,24.32%,SIM_019186;SIM_017865;SIM_009454;SIM_014309;SIM_001304
